a_mri,b_mri,subject_id,session_a,session_b,filename_a,filename_b,ssim
/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-NOT1ACH001_T1w-preprocessed.nii.gz,/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-OXF2PRI001_T1w-preprocessed.nii.gz,sub-12813,ses-NOT1ACH001,ses-OXF2PRI001,sub-12813_ses-NOT1ACH001_T1w-preprocessed.nii.gz,sub-12813_ses-OXF2PRI001_T1w-preprocessed.nii.gz,0.9358245291647996
/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-NOT1ACH001_T1w-preprocessed.nii.gz,/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-OXF3TRI001_T1w-preprocessed.nii.gz,sub-12813,ses-NOT1ACH001,ses-OXF3TRI001,sub-12813_ses-NOT1ACH001_T1w-preprocessed.nii.gz,sub-12813_ses-OXF3TRI001_T1w-preprocessed.nii.gz,0.9161585314625214
/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-NOT1ACH001_T1w-preprocessed.nii.gz,/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-NOT3GEM001_T1w-preprocessed.nii.gz,sub-12813,ses-NOT1ACH001,ses-NOT3GEM001,sub-12813_ses-NOT1ACH001_T1w-preprocessed.nii.gz,sub-12813_ses-NOT3GEM001_T1w-preprocessed.nii.gz,0.8894245544216319
/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-NOT1ACH001_T1w-preprocessed.nii.gz,/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-NOT2ING001_T1w-preprocessed.nii.gz,sub-12813,ses-NOT1ACH001,ses-NOT2ING001,sub-12813_ses-NOT1ACH001_T1w-preprocessed.nii.gz,sub-12813_ses-NOT2ING001_T1w-preprocessed.nii.gz,0.9492918896139942
/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-NOT1ACH001_T1w-preprocessed.nii.gz,/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-OXF1PRI001_T1w-preprocessed.nii.gz,sub-12813,ses-NOT1ACH001,ses-OXF1PRI001,sub-12813_ses-NOT1ACH001_T1w-preprocessed.nii.gz,sub-12813_ses-OXF1PRI001_T1w-preprocessed.nii.gz,0.8343510959368082
/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-OXF2PRI001_T1w-preprocessed.nii.gz,/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-OXF3TRI001_T1w-preprocessed.nii.gz,sub-12813,ses-OXF2PRI001,ses-OXF3TRI001,sub-12813_ses-OXF2PRI001_T1w-preprocessed.nii.gz,sub-12813_ses-OXF3TRI001_T1w-preprocessed.nii.gz,0.9455745540793172
/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-OXF2PRI001_T1w-preprocessed.nii.gz,/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-NOT3GEM001_T1w-preprocessed.nii.gz,sub-12813,ses-OXF2PRI001,ses-NOT3GEM001,sub-12813_ses-OXF2PRI001_T1w-preprocessed.nii.gz,sub-12813_ses-NOT3GEM001_T1w-preprocessed.nii.gz,0.89704932355019
/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-OXF2PRI001_T1w-preprocessed.nii.gz,/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-NOT2ING001_T1w-preprocessed.nii.gz,sub-12813,ses-OXF2PRI001,ses-NOT2ING001,sub-12813_ses-OXF2PRI001_T1w-preprocessed.nii.gz,sub-12813_ses-NOT2ING001_T1w-preprocessed.nii.gz,0.9528654503132016
/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-OXF2PRI001_T1w-preprocessed.nii.gz,/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-OXF1PRI001_T1w-preprocessed.nii.gz,sub-12813,ses-OXF2PRI001,ses-OXF1PRI001,sub-12813_ses-OXF2PRI001_T1w-preprocessed.nii.gz,sub-12813_ses-OXF1PRI001_T1w-preprocessed.nii.gz,0.8747184323956484
/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-OXF3TRI001_T1w-preprocessed.nii.gz,/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-NOT3GEM001_T1w-preprocessed.nii.gz,sub-12813,ses-OXF3TRI001,ses-NOT3GEM001,sub-12813_ses-OXF3TRI001_T1w-preprocessed.nii.gz,sub-12813_ses-NOT3GEM001_T1w-preprocessed.nii.gz,0.8912492031182754
/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-OXF3TRI001_T1w-preprocessed.nii.gz,/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-NOT2ING001_T1w-preprocessed.nii.gz,sub-12813,ses-OXF3TRI001,ses-NOT2ING001,sub-12813_ses-OXF3TRI001_T1w-preprocessed.nii.gz,sub-12813_ses-NOT2ING001_T1w-preprocessed.nii.gz,0.917868930648875
/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-OXF3TRI001_T1w-preprocessed.nii.gz,/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-OXF1PRI001_T1w-preprocessed.nii.gz,sub-12813,ses-OXF3TRI001,ses-OXF1PRI001,sub-12813_ses-OXF3TRI001_T1w-preprocessed.nii.gz,sub-12813_ses-OXF1PRI001_T1w-preprocessed.nii.gz,0.878515955450219
/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-NOT3GEM001_T1w-preprocessed.nii.gz,/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-NOT2ING001_T1w-preprocessed.nii.gz,sub-12813,ses-NOT3GEM001,ses-NOT2ING001,sub-12813_ses-NOT3GEM001_T1w-preprocessed.nii.gz,sub-12813_ses-NOT2ING001_T1w-preprocessed.nii.gz,0.881741382550064
/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-NOT3GEM001_T1w-preprocessed.nii.gz,/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-OXF1PRI001_T1w-preprocessed.nii.gz,sub-12813,ses-NOT3GEM001,ses-OXF1PRI001,sub-12813_ses-NOT3GEM001_T1w-preprocessed.nii.gz,sub-12813_ses-OXF1PRI001_T1w-preprocessed.nii.gz,0.8086447334497604
/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-NOT2ING001_T1w-preprocessed.nii.gz,/home/lengjingcheng/codes/iguane_harmonization/data/ON-Harmony/preprocessed/sub-12813_ses-OXF1PRI001_T1w-preprocessed.nii.gz,sub-12813,ses-NOT2ING001,ses-OXF1PRI001,sub-12813_ses-NOT2ING001_T1w-preprocessed.nii.gz,sub-12813_ses-OXF1PRI001_T1w-preprocessed.nii.gz,0.8522421874500857
